German,English
der,the
und,and
die,the
in,in
von,from
den,the
mit,with
zu,to
ist,is
für,for
Die,The
des,des
das,the
im,in the
wurde,became
auf,on
sich,itself
dem,dem
ein,a
als,as
er,he
Sie,She
eine,one
nicht,not
auch,also
werden,become
es,it
ich,I
an,to
war,was
sind,are
Der,The
oder,or
aus,out of
bei,at
sie,she
bis,until
wird,becomes
nach,after
einer,one
dass,that
am,on
einen,a
wie,How
zum,for the
einem,one
über,above
um,around
In,In
können,can
hat,has
Ich,I
zur,to
nur,only
durch,through
Im,In the
wurden,became
kann,can
noch,still
haben,have
so,so
man,man
sex,sex
aber,but
vor,before
Er,He
mehr,more
Jahr,Year
uns,us
mich,me
mir,me
wenn,if
Es,It
seiner,his
sein,be
seine,his
dann,then
was,What
sehr,very
hatte,had
zwei,two
diese,this
Jahre,Years
unter,under
Wir,We
dieser,this
Nach,After
Ein,A
gibt,gives
waren,were
immer,always
hier,here
jedoch,however
sowie,as well as 
Schweiz,Switzerland
